"Population","Trial","Generations"
1000,1,2521
1000,2,1234
1000,3,953
1000,4,2195
1000,5,1994
1000,6,832
1000,7,3802
1000,8,2438
1000,9,658
1000,10,1625
1000,11,1708
1000,12,881
1000,13,1129
1000,14,4326
1000,15,964
1000,16,716
1000,17,3782
1000,18,1761
1000,19,2349
1000,20,1069
1000,21,3404
1000,22,1277
1000,23,2406
1000,24,794
1000,25,2446
2000,1,4072
2000,2,3978
2000,3,3773
2000,4,3020
2000,5,1918
2000,6,8441
2000,7,5243
2000,8,2638
2000,9,3103
2000,10,6092
2000,11,2211
2000,12,3332
2000,13,5487
2000,14,6094
2000,15,4616
2000,16,1966
2000,17,3188
2000,18,1166
2000,19,12707
2000,20,2842
2000,21,2198
2000,22,2428
2000,23,2665
2000,24,3389
2000,25,4019
4000,1,23762
4000,2,4586
4000,3,7057
4000,4,11456
4000,5,6942
4000,6,7533
4000,7,11297
4000,8,4521
4000,9,5694
4000,10,6089
4000,11,6879
4000,12,8110
4000,13,6026
4000,14,6460
4000,15,3861
4000,16,2934
4000,17,2485
4000,18,4127
4000,19,5800
4000,20,5727
4000,21,17174
4000,22,6503
4000,23,2711
4000,24,9406
4000,25,10888
